ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,Geography,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2020,"2020","04000US25","Massachusetts",6727,632.5219363784944,0.883632086199142,"Boston, MA","16000US2507000","boston-ma",144314,12872,6574,2.3273501673258292,135366,6.610227088042787,1.7507287112221528
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2020,"2020","04000US25","Massachusetts",12430,909.1210040473161,3.2553339334542124,"Boston, MA","16000US2507000","boston-ma",114382,11442,11172,11.260293591120659,113688,0.6104426148758004,3.2349573183427025
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2020,"2020","04000US25","Massachusetts",8696,710.6229661360517,1.2745513695376003,"Boston, MA","16000US2507000","boston-ma",85564,8458,9521,-8.665056191576515,85791,-0.264596519448427,2.2631688528003333
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2020,"2020","04000US25","Massachusetts",8462,682.8067076413354,1.9290878066357813,"Boston, MA","16000US2507000","boston-ma",201628,26724,7993,5.8676341799074185,205442,-1.85648504200699,2.20226941494899
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2020,"2020","04000US25","Massachusetts",27608,1495.751650508867,1.172725943914805,"Boston, MA","16000US2507000","boston-ma",100757,9920,26543,4.012357307011265,92057,9.450666434926188,7.185092650426816
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2020,"2020","04000US25","Massachusetts",12007,888.721553693844,1.5296254385376964,"Boston, MA","16000US2507000","boston-ma",104795,12132,11161,7.579965952871606,103650,1.104679208876025,3.1248698729960442
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2020,"2020","04000US25","Massachusetts",19780,1204.2566171709416,1.235779032127559,"Boston, MA","16000US2507000","boston-ma",166792,12032,20225,-2.2002472187886277,154736,7.79133491882949,5.147824276493858
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2020,"2020","04000US25","Massachusetts",6266,735.7587919963988,0.8317384701749397,"Boston, MA","16000US2507000","boston-ma",115585,16741,5762,8.746962860118014,106874,8.15071953889627,1.630751613574849
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2020,"2020","04000US25","Massachusetts",14312,902.8427327059791,1.1374860867643481,"Boston, MA","16000US2507000","boston-ma",61038,4774,14158,1.087724254838254,60095,1.5691821282968632,3.724755361232563
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2020,"2020","04000US25","Massachusetts",23698,1268.1344565936217,1.110006471087199,"Boston, MA","16000US2507000","boston-ma",39527,2835,25540,-7.21221613155834,40570,-2.570865171308849,6.167499479491984
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2020,"2020","04000US25","Massachusetts",15113,1190.1268839917868,1.0694480431935773,"Boston, MA","16000US2507000","boston-ma",53085,3837,15692,-3.689778230945705,50639,4.830269160133494,3.933218821569852
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2020,"2020","04000US25","Massachusetts",11459,811.2983421651987,1.0909309733077495,"Boston, MA","16000US2507000","boston-ma",44047,9005,11792,-2.8239484396200814,42956,2.5398081758078033,2.9822506766604207
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2020,"2020","04000US25","Massachusetts",5911,609.9245855021751,1.3122293933245972,"Boston, MA","16000US2507000","boston-ma",48744,10325,5736,3.0509065550906556,50160,-2.8229665071770333,1.5383614407661879
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2020,"2020","04000US25","Massachusetts",2671,475.86552722381555,0.7190461463947361,"Boston, MA","16000US2507000","boston-ma",162057,39200,2502,6.754596322941647,158333,2.3520049515893717,0.6951384551322091
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2020,"2020","04000US25","Massachusetts",30963,1350.468437246869,0.805520132613864,"Boston, MA","16000US2507000","boston-ma",78850,8730,32206,-3.859529280258337,71234,10.69152371058764,8.058244846970643
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2020,"2020","04000US25","Massachusetts",39983,1485.4753447970786,0.9188983746922649,"Boston, MA","16000US2507000","boston-ma",77659,4605,40599,-1.5172787507081456,75702,2.5851364561041983,10.405735998334373
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2020,"2020","04000US25","Massachusetts",348,253.16002844051036,0.14100580036459415,"Boston, MA","16000US2507000","boston-ma",89232,18044,229,51.96506550218341,68479,30.305641145460655,0.0905683947532792
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2020,"2020","04000US25","Massachusetts",9719,876.92645073575,0.5030170832683014,"Boston, MA","16000US2507000","boston-ma",83354,15685,10325,-5.8692493946731235,73225,13.8327074086719,2.5294087028940244
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2020,"2020","04000US25","Massachusetts",4529,580.904467188883,0.38437778833883246,"Boston, MA","16000US2507000","boston-ma",96036,38307,4247,6.6399811631740056,135435,-29.090707719570275,1.1786904018321882
